Term,Subject,Course,CRN,Section,Start Time,End Time,Days,Building,Room,Primary Instructor(s),Additional Instructor(s),Enrollment Actual,Enrollment Maximum,Enrollment Seats Available,Waitlist Capacity,Waitlist Actual,Waitlist Seats Available,Building Code,Room Capacity,Utilization
Fall 2025,CS,CS 2200,88268,B03,18:30,21:15,W,Kendeda,152,Daniel Forsyth,,50,50,0,0,0,0,210,176.0,0.2840909090909091
Fall 2025,CS,CS 2200,88274,B04,18:30,21:15,W,Molecular Sciences and Engr,G011,Daniel Forsyth,,39,50,11,0,0,0,167,150.0,0.26
Fall 2025,CS,CS 2200,89538,B05,18:30,21:15,W,Whitaker,1103,Daniel Forsyth,,30,49,19,0,0,0,165,62.0,0.4838709677419355
Fall 2025,CS,CS 2200,91032,B06,18:30,21:15,W,J. Erskine Love Manufacturing,183,Daniel Forsyth,,50,50,0,0,0,0,144,50.0,1.0
Fall 2025,CS,CS 2200,92348,FA1,18:30,21:15,W,Molecular Sciences and Engr,1222,Daniel Forsyth,,0,1,1,0,0,0,167,50.0,0.0
Fall 2025,CS,CS 2200,92343,FAA,17:00,18:15,M,Scheller College of Business,100,Daniel Forsyth,,0,0,0,0,0,0,172,348.0,0.0
Fall 2025,CS,CS 2200,92345,FAB,18:30,19:45,R,Instructional Center,103,Daniel Forsyth,,0,0,0,0,0,0,55,300.0,0.0
Fall 2025,CS,CS 2200,92349,FB1,18:30,21:15,W,Whitaker,1103,Daniel Forsyth,,0,0,0,0,0,0,165,62.0,0.0
Fall 2025,CS,CS 2200,80754,GR,17:00,18:15,M,Scheller College of Business,100,Daniel Forsyth,,0,0,0,0,0,0,172,348.0,0.0
Fall 2025,CS,CS 2200,90379,GR1,18:30,21:15,W,Kendeda,210,Daniel Forsyth,,0,4,4,0,0,0,210,64.0,0.0
Fall 2025,CS,CS 2261,81805,A,15:30,16:45,MW,Instructional Center,109,Aaron Hansen,,34,70,36,50,0,50,55,70.0,0.4857142857142857
Fall 2025,CS,CS 2261,86723,A01,17:00,18:15,TR,Instructional Center,209,Aaron Hansen,,34,70,36,0,0,0,55,70.0,0.4857142857142857
Fall 2025,CS,CS 2316,82866,A,14:00,15:15,MW,Howey Physics,L1,Ronnie Howard,,168,200,32,30,0,30,81,268.0,0.6268656716417911
Fall 2025,CS,CS 2316,84114,GR,14:00,15:15,MW,Howey Physics,L1,Ronnie Howard,,0,0,0,0,0,0,81,268.0,0.0
